event_type,src_ip_type,dst_port,protocol,alert_severity,alert_signature,failed_attempts,session_duration,bytes_sent,is_cloud_asset,label
firewall,internal,21,tcp,low,normal,2,159,11684,0,0
cloud,internal,53,tcp,low,normal,1,413,748,1,0
auth,internal,25,tcp,high,bruteforce,23,516,750,0,1
firewall,internal,3389,tcp,low,normal,2,64,358,0,0
ids,internal,443,tcp,high,malware,3,728,1620,0,1
ids,external,80,tcp,medium,port_scan,2,9,4436,0,1
ids,internal,8080,tcp,low,normal,3,140,883,0,0
cloud,external,21,tcp,low,normal,1,1521,2569,0,1
auth,internal,25,tcp,low,normal,4,37,6094,0,0
auth,internal,22,udp,medium,port_scan,4,62,3312,0,1
ids,internal,8080,tcp,low,normal,3,1178,7255,1,0
cloud,internal,21,tcp,high,port_scan,2,40,2150,0,1
cloud,internal,53,tcp,low,normal,2,220,5310,1,0
ids,internal,21,tcp,low,normal,3,186,233,0,0
ids,external,21,udp,high,normal,1,509,2355,0,1
ids,internal,25,tcp,medium,normal,1,79,12323,0,0
firewall,external,22,tcp,medium,port_scan,1,150,59,0,1
firewall,internal,80,tcp,low,normal,1,511,8696,1,0
firewall,external,8080,tcp,low,normal,1,197,3670,0,0
ids,internal,5432,tcp,low,normal,2,721,383,0,0
auth,external,21,tcp,high,bruteforce,14,139,4367,1,1
ids,internal,80,tcp,medium,normal,1,134,11436,0,0
ids,internal,53,tcp,low,normal,3,92,1934,1,0
firewall,internal,25,udp,medium,bruteforce,32,303,4921,1,1
firewall,external,5432,tcp,low,normal,4,427,8495,1,0
auth,external,443,tcp,low,normal,6,11,4448,0,1
ids,internal,3306,tcp,high,malware,3,241,3441,1,1
firewall,external,8080,tcp,medium,normal,2,225,2957,0,0
firewall,internal,21,tcp,high,normal,3,881,4796,1,1
ids,internal,22,tcp,medium,malware,0,146,42912,0,1
auth,internal,8080,udp,medium,malware,0,0,13638,0,1
ids,external,443,tcp,medium,port_scan,1,293,218,0,1
ids,internal,21,udp,medium,normal,2,220,1760,1,0
